Neighborhood, Income,"Lat,  Long"
AEROPORTO,600,"-20.241510, -40.275436"
ANDORINHAS,510,"20.287241, -40.306451"
ANTONIO HONORIO,755,"-20.258443, -40.298751"
ARIOVALDO FAVALESSA,510,"-20.312391, -40.355819"
BARRO VERMELHO,2000,"-20.292924, -40.296295"
BELA VISTA,510,"-20.303321, -40.346477"
BENTO FERREIRA,1500,"-20.318973, -40.307371"
BOA VISTA,590,"-20.354194, -40.302149"
BONFIM,510,"-20.300017, -40.313292"
CARATOIRA,510,"-20.314990, -40.352755"
CENTRO,1000,"-20.321126, -40.334044"
COMDUSA,510,"-20.286847, -40.333936"
CONQUISTA,510,"-20.279875, -40.323440"
CONSOLACAO,510,"-20.305627, -40.312054"
CRUZAMENTO,510,"-20.310085, -40.321550"
DA PENHA,510,"-20.298375, -40.310373"
DE LOURDES,1000,"-20.306758, -40.316592"
DO CABRAL,510,"-20.315728, -40.347332"
DO MOSCOSO,510,"-20.315162, -40.342432"
DO QUADRO,510,"-20.317261, -40.349993"
ENSEADA DO SUA,2000,"-20.318968, -40.295598"
ESTRELINHA,510,"-20.292666, -40.348168"
FONTE GRANDE,510,"-20.313800, -40.337009"
FORTE SAO JOAO,510,"-20.317876, -40.323416"
FRADINHOS,1000,"-20.306569, -40.327883"
GOIABEIRAS,550,"-20.271226, -40.304931"
GRANDE VITORIA,510,"-20.289284, -40.340045"
GURIGICA,510,"-20.307283, -40.305925"
HORTO,510,"-20.309140, -40.310545"
ILHA DAS CAIEIRAS,510,"-20.277150, -40.336775"
ILHA DE SANTA MARIA,560,"-20.315972, -40.318461"
ILHA DO BOI,1500,"-20.513034, -29.337513"
ILHA DO FRADE,2500,"-20.299646, -40.277377"
ILHA DO PRINCIPE,510,"-20.323057, -40.350867"
ILHAS DE TRINDADE,510,"-20.513034, -29.337513"
INHANGUETA,510,"-20.296864, -40.349694"
ITARARE,510,"-20.295859, -40.306694"
JABOUR,1000,"-20.257860, -40.292654"
JARDIM CAMBURI,1500,"-20.256969, -40.266424"
JARDIM DA PENHA,1500,"-20.284086, -40.295144"
JESUS DE NAZARETH,510,"-20.318256, -40.303099"
JOANA DARC,510,"-20.285402, -40.314721"
JUCUTUQUARA,800,"-20.308854, -40.319879"
MARIA ORTIZ,510,"-20.257515, -40.297119"
MARIO CYPRESTE,510,"-20.319337, -40.354217"
MARUIPE,800,"-20.296879, -40.319743"
MATA DA PRAIA,2000,"-20.275670, -40.288970"
MONTE BELO,511,"-20.312933, -40.311630"
MORADA DE CAMBURI,1100,"-20.271664, -40.296437"
NAZARETH,850,"-20.310081, -40.316051"
NOVA PALESTINA,510,"-20.273941, -40.328439"
PARQUE INDUSTRIAL,405,"20.391733, -40.459479"
PARQUE MOSCOSO,1005,"-20.320133, -40.342601"
PIEDADE,510,"-20.314633, -40.340632"
PONTAL DE CAMBURI,800,"-20.289210, -40.298903"
PRAIA DO CANTO,2000,"-20.298379, -40.292811"
PRAIA DO SUA,510,"-20.312436, -40.297468"
REDENCAO,510,"-20.279121, -40.329209"
REPUBLICA,900,"-20.269995, -40.292949"
RESISTENCIA,510,"-20.272008, -40.318108"
ROMAO,510,"-20.313265, -40.324086"
SANTA CECILIA,1000,"-20.302512, -40.320683"
SANTA CLARA,700,"-20.318859, -40.345022"
SANTA HELENA,2500,"-20.309916, -40.294053"
SANTA LUCIA,1500,"-20.304085, -40.299902"
SANTA LUIZA,1000,"-20.290939, -40.302341"
SANTA MARTHA,510,"-20.286813, -40.310083"
SANTA TEREZA,510,"-20.311942, -40.349198"
SANTO ANDRE,510,"-20.279009, -40.332717"
SANTO ANTONIO,510,"-20.309166, -40.354310"
SANTOS DUMONT,510,"-20.301665, -40.316833"
SANTOS REIS,510,"-20.283396, -40.334349"
SAO BENEDITO,440,"-20.302030, -40.306616"
SAO CRISTOVAO,510,"-20.292012, -40.315543"
SAO JOSE,510,"-20.283000, -40.330812"
SAO,510,"-20.282179, -40.336846"
SEGURANCA DO LAR,700,"-20.263177, -40.296634"
SOLON BORGES,700,"-20.261220, -40.295185"
TABUAZEIRO,510,"-20.294021, -40.322401"
UNIVERSITARIO,600,"-20.295133, -40.339959"
VILA RUBIM,510,"-20.320184, -40.346839"
